Product_Code	Product_Category	Unit_Price
000000724	Entertainment	1499
000000650	Entertainment	1299
000000708	Entertainment	1299
000000722	Entertainment	1199
000000646	Entertainment	1199
000000649	Entertainment	1099
000000685	Entertainment	1099
000000721	Entertainment	999
000000680	Entertainment	999
000000720	Entertainment	899
000000684	Entertainment	899
000000644	Entertainment	799
000000679	Entertainment	799
000000719	Entertainment	799
000000647	Entertainment	699
000000683	Entertainment	699
000000718	Entertainment	599
000000643	Entertainment	599
000000678	Entertainment	599
000000656	Entertainment	499
000000662	Entertainment	499
000000682	Entertainment	499
000000716	Entertainment	499
000000717	Entertainment	499
000000655	Entertainment	399
000000661	Entertainment	399
000000669	Entertainment	399
000000677	Entertainment	399
000000713	Entertainment	399
000000715	Entertainment	399
000000761	Entertainment	299
000000775	Entertainment	299
000000780	Entertainment	299
000000697	Entertainment	299
000000654	Entertainment	299
000000660	Entertainment	299
000000668	Entertainment	299
000000681	Entertainment	299
000000712	Entertainment	299
000000714	Entertainment	299
000000760	Entertainment	199
000000763	Entertainment	8999
000000774	Entertainment	8999
000000779	Entertainment	8999
000000762	Entertainment	8499
000000653	Entertainment	8199
000000659	Entertainment	8199
000000667	Entertainment	8099
000000696	Entertainment	8099
000000711	Entertainment	8099
000000758	Entertainment	8099
000000759	Entertainment	8099
000000773	Entertainment	7999
000000778	Entertainment	7999
000000673	Entertainment	7599
000000652	Entertainment	7199
000000658	Entertainment	7199
000000666	Entertainment	7199
000000691	Entertainment	7099
000000731	Entertainment	7099
000000741	Entertainment	7099
000000757	Entertainment	7099
000000772	Entertainment	7099
000000777	Entertainment	7099
000000676	Entertainment	6799
000000672	Entertainment	6699
000000695	Entertainment	6599
000000730	Entertainment	6599
000000740	Entertainment	6599
000000651	Entertainment	6199
000000657	Entertainment	6199
000000665	Entertainment	6199
000000690	Entertainment	6199
000000729	Entertainment	6099
000000735	Entertainment	6099
000000739	Entertainment	6099
000000751	Entertainment	6099
000000756	Entertainment	6099
000000771	Entertainment	6099
000000776	Entertainment	6099
000000819	Entertainment	5999
000000675	Entertainment	5799
000000671	Entertainment	5699
000000664	Entertainment	5199
000000689	Entertainment	5199
000000694	Entertainment	5199
000000734	Entertainment	5099
000000744	Entertainment	5099
000000750	Entertainment	5099
000000755	Entertainment	5099
000000766	Entertainment	5099
000000770	Entertainment	5099
000000795	Entertainment	5099
000000810	Entertainment	5099
000000818	Entertainment	5099
000000674	Entertainment	4799
000000768	Entertainment	4699
000000670	Entertainment	4699
000000704	Entertainment	4699
000000749	Entertainment	4599
000000765	Entertainment	4599
000000663	Entertainment	4199
000000688	Entertainment	4199
000000700	Entertainment	4199
000000707	Entertainment	4199
000000728	Entertainment	4199
000000733	Entertainment	4199
000000738	Entertainment	4199
000000743	Entertainment	4099
000000748	Entertainment	4099
000000754	Entertainment	4099
000000794	Entertainment	4099
000000802	Entertainment	4099
000000809	Entertainment	4099
000000817	Entertainment	4099
000000693	Entertainment	3699
000000703	Entertainment	3699
000000727	Entertainment	3699
000000737	Entertainment	3699
000000747	Entertainment	3699
000000764	Entertainment	3599
000000767	Entertainment	3599
000000793	Entertainment	3599
000000801	Entertainment	3599
000000808	Entertainment	3599
000000816	Entertainment	3599
000000687	Entertainment	3199
000000699	Entertainment	3199
000000706	Entertainment	3199
000000726	Entertainment	3199
000000732	Entertainment	3199
000000736	Entertainment	3199
000000742	Entertainment	3199
000000746	Entertainment	3199
000000753	Entertainment	3199
000000769	Entertainment	3099
000000787	Entertainment	3099
000000792	Entertainment	3099
000000800	Entertainment	3099
000000807	Entertainment	3099
000000815	Entertainment	3099
000000702	Entertainment	2699
000000745	Entertainment	2699
000000786	Entertainment	2599
000000791	Entertainment	2599
000000799	Entertainment	2599
000000806	Entertainment	2599
000000814	Entertainment	2599
000000686	Entertainment	2199
000000692	Entertainment	2199
000000698	Entertainment	2199
000000705	Entertainment	2199
000000752	Entertainment	2199
000000785	Entertainment	2099
000000790	Entertainment	2099
000000798	Entertainment	2099
000000805	Entertainment	2099
000000813	Entertainment	2099
000000701	Entertainment	1699
000000784	Entertainment	1699
000000789	Entertainment	1699
000000797	Entertainment	1599
000000804	Entertainment	1599
000000812	Entertainment	1599
000000783	Entertainment	1499
000000782	Entertainment	1199
000000788	Entertainment	1199
000000796	Entertainment	1199
000000803	Entertainment	1099
000000811	Entertainment	1099
000000781	Entertainment	999
000000207	GameConsoles	1499
000000205	GameConsoles	1399
000000204	GameConsoles	1299
000000206	GameConsoles	1299
000000208	GameConsoles	1199
000000203	GameConsoles	899
000000200	GameConsoles	899
000000199	GameConsoles	799
000000201	GameConsoles	799
000000202	GameConsoles	699
000000210	GameConsoles	399
000000209	GameConsoles	299
000000211	GameConsoles	199
000000469	Hardware	2199
000000355	Hardware	1999
000000468	Hardware	1999
000000354	Hardware	1799
000000467	Hardware	1799
000000474	Hardware	1799
000000428	Hardware	1699
000000383	Hardware	1599
000000466	Hardware	1599
000000473	Hardware	1599
000000427	Hardware	1499
000000352	Hardware	1399
000000382	Hardware	1399
000000421	Hardware	1399
000000465	Hardware	1399
000000472	Hardware	1399
000000386	Hardware	1299
000000426	Hardware	1299
000000351	Hardware	1199
000000381	Hardware	1199
000000420	Hardware	1199
000000464	Hardware	1199
000000471	Hardware	1199
000000425	Hardware	1099
000000350	Hardware	999
000000380	Hardware	999
000000419	Hardware	999
000000463	Hardware	999
000000470	Hardware	999
000000604	Hardware	939
000000384	Hardware	899
000000424	Hardware	899
000000576	Hardware	899
000000579	Hardware	899
000000603	Hardware	839
000000349	Hardware	799
000000379	Hardware	799
000000418	Hardware	799
000000446	Hardware	799
000000447	Hardware	799
000000444	Hardware	749
000000445	Hardware	749
000000454	Hardware	749
000000461	Hardware	749
000000462	Hardware	749
000000602	Hardware	739
000000423	Hardware	699
000000442	Hardware	699
000000443	Hardware	699
000000452	Hardware	699
000000453	Hardware	699
000000459	Hardware	699
000000460	Hardware	699
000000575	Hardware	699
000000578	Hardware	699
000000608	Hardware	699
000000440	Hardware	649
000000441	Hardware	649
000000450	Hardware	649
000000451	Hardware	649
000000457	Hardware	649
000000458	Hardware	649
000000601	Hardware	639
000000348	Hardware	599
000000377	Hardware	599
000000378	Hardware	599
000000417	Hardware	599
000000438	Hardware	599
000000439	Hardware	599
000000448	Hardware	599
000000449	Hardware	599
000000455	Hardware	599
000000456	Hardware	599
000000480	Hardware	599
000000483	Hardware	599
000000607	Hardware	599
000000347	Hardware	550
000000600	Hardware	539
000000346	Hardware	500
000000340	Hardware	499
000000363	Hardware	499
000000375	Hardware	499
000000376	Hardware	499
000000422	Hardware	499
000000477	Hardware	499
000000479	Hardware	499
000000482	Hardware	499
000000574	Hardware	499
000000577	Hardware	499
000000606	Hardware	499
000000345	Hardware	450
000000599	Hardware	439
000000344	Hardware	400
000000339	Hardware	399
000000358	Hardware	399
000000360	Hardware	399
000000362	Hardware	399
000000373	Hardware	399
000000374	Hardware	399
000000393	Hardware	399
000000416	Hardware	399
000000476	Hardware	399
000000478	Hardware	399
000000481	Hardware	399
000000572	Hardware	399
000000589	Hardware	399
000000592	Hardware	399
000000597	Hardware	399
000000605	Hardware	399
000000359	Hardware	349
000000368	Hardware	349
000000392	Hardware	349
000000571	Hardware	349
000000586	Hardware	349
000000596	Hardware	349
000000614	Hardware	349
000000616	Hardware	349
000000598	Hardware	339
000000343	Hardware	300
000000338	Hardware	299
000000342	Hardware	299
000000357	Hardware	299
000000361	Hardware	299
000000367	Hardware	299
000000371	Hardware	299
000000372	Hardware	299
000000389	Hardware	299
000000391	Hardware	299
000000394	Hardware	299
000000395	Hardware	299
000000396	Hardware	299
000000475	Hardware	299
000000569	Hardware	299
000000570	Hardware	299
000000582	Hardware	299
000000583	Hardware	299
000000585	Hardware	299
000000588	Hardware	299
000000591	Hardware	299
000000595	Hardware	299
000000613	Hardware	269
000000341	Hardware	249
000000366	Hardware	249
000000388	Hardware	249
000000390	Hardware	249
000000402	Hardware	249
000000414	Hardware	249
000000434	Hardware	249
000000584	Hardware	249
000000594	Hardware	249
000000615	Hardware	239
000000612	Hardware	229
000000413	Hardware	219
000000356	Hardware	199
000000365	Hardware	199
000000369	Hardware	199
000000370	Hardware	199
000000387	Hardware	199
000000401	Hardware	199
000000412	Hardware	199
000000415	Hardware	199
000000433	Hardware	199
000000568	Hardware	199
000000573	Hardware	199
000000580	Hardware	199
000000581	Hardware	199
000000587	Hardware	199
000000590	Hardware	199
000000593	Hardware	199
